단지명,위도,경도,부동산타입,준공년월,총동수,총세대수,용적률,최소매매가,최대매매가,중간매매가,최소전세가,최대전세가,중간전세가,최소월세,최대월세,최소면적,최대면적,대표면적,매매매물수,전세매물수,월세매물수,총매물수,분양여부,사진수
"대원리버빌",37.530617,127.071716,"아파트",200108,1,40,311,135000,135000,135000,,,,,,106.95,106.95,106,15,,,15,,
"우성",37.521804,127.046824,"아파트",200501,1,25,192,135000,190000,135000,,,,,,97.01,131.09,99,29,,,29,,
"논현한화꿈에그린",37.50705,127.030837,"아파트",200505,2,70,250,124000,155000,135000,69000,69000,69000,300,320,89.17,89.17,89,26,3,3,35,,
"논현e-편한세상",37.506748,127.029156,"아파트",200507,1,63,249,135000,180000,135000,,,,,,109.11,142.43,109,6,,,7,,
"양재현대",37.473956,127.044232,"아파트",200301,1,14,240,130000,130000,130000,,,,,,106.52,106.52,106,1,,,1,,
"새티스(1435-2)",37.484694,127.024082,"아파트",200311,1,18,269,130000,130000,130000,65000,67000,65000,,,75.28,89.18,75,5,11,,16,,
"한라",37.535427,127.070378,"아파트",199608,2,329,301,108000,140000,130000,60000,60000,,60,220,98.77,157.97,139,47,6,69,122,,
"에비뉴나인티(도시형)",37.525186,127.042563,"아파트",202009,1,28,199,120000,180000,128000,110000,110000,110000,370,430,65.85,67.98,66,19,1,22,50,,
"서초노빌리에",37.489912,127.01335,"아파트",200608,1,19,199,125000,130000,125000,85000,85000,,,,94.48,102.61,102,10,5,,15,,
"우민",37.51787,127.03739,"아파트",200208,1,70,269,118000,130000,122500,80000,85000,85000,60,100,99.54,99.54,99,6,6,5,17,,
"필로스",37.48694,127.044282,"아파트",200401,1,8,255,120000,120000,120000,,,,,,115.57,115.57,115,4,,,4,,
"논현아이파크(주상복합)",37.510439,127.036096,"아파트",202008,1,99,359,118000,190000,120000,90500,94000,,140,200,69,86.35,69,19,16,12,47,,
"명인갤러리1차",37.498613,127.042584,"아파트",200209,1,14,299,117000,117000,117000,82000,82000,,,,77.56,95.31,95,3,5,,8,,
"자양7차현대홈타운",37.53302,127.06956,"아파트",200105,4,252,289,115000,170000,115000,,,,,,78.47,143.91,78,24,,,24,,
"양재SK허브프리모(주상복합)",37.485301,127.034443,"아파트",200601,1,176,629,40500,110000,110000,,,,125,270,47.19,94.33,94,7,,7,14,,
"로얄동아",37.528374,127.08101,"아파트",199909,4,322,350,88000,185000,100000,52000,95000,52000,180,180,77.35,147.54,77,47,12,4,63,,
"역삼우정에쉐르1(주상복합)",37.496376,127.030104,"아파트",200406,1,69,548,84000,100000,100000,55500,65000,65000,285,290,55.3,84.03,84,10,6,10,34,,
"멀버리힐스(도시형)",37.514431,127.019395,"아파트",202201,1,12,197,82000,98000,88500,75000,75000,75000,260,280,49.53,60.82,49,3,1,5,9,,
"대치우정에쉐르2(주상복합)",37.504308,127.052611,"아파트",200405,1,18,434,85500,89000,86000,,,,250,250,72.18,82.58,72,8,,3,12,,
"역삼예명",37.50499,127.03842,"아파트",200112,1,15,237,83000,83000,83000,,,,,,82.06,82.96,82,2,,,2,,
"자양삼성",37.528631,127.082181,"아파트",200104,1,10,251,81000,81000,81000,,,,,,92.38,92.38,92,1,,,1,,
"그랜드",37.531541,127.079632,"아파트",202304,1,21,199,80000,82000,81000,,,,,,61.24,65.85,65,6,,,6,,
"더헤리움(B동)",37.523647,127.052529,"아파트",201706,1,8,192,75000,80000,80000,65000,65000,,,,40.64,57.87,57,3,1,,4,,
"삼성한양립스(주상복합)",37.506294,127.0518,"아파트",202201,1,28,382,67900,80000,79000,,,,250,255,43.5,43.5,43,15,,9,27,,
"한남리첸시아(주상복합)",37.534632,127.008111,"아파트",200404,3,371,499,75000,260000,78000,45000,240000,47500,40,320,42.41,160.76,49,51,9,12,72,,
"서울숲아이파크리버포레1차",37.55113,127.043579,"분양",,,,,35227,117552,76389,,,,,,1701.17,3383.68,3383.68,,,,,true,
"성수드림빌드",37.543636,127.058298,"분양",,,,,65333,68304,66818,,,,,,743.08,899.71,899.71,,,,,true,
"청담스테이",37.519189,127.042292,"아파트",201802,1,16,199,60000,66000,66000,45500,47250,47250,120,250,30.54,32.55,30,6,3,5,14,,
"새티스(402-10)",37.471172,127.049886,"아파트",200109,1,16,296,65000,65000,65000,43000,43000,,,,62.98,66.4,62,4,1,,5,,
"삼성홈타운7차(도시형)",37.537484,127.078065,"아파트",201501,2,20,190,61000,61000,61000,,,,,,68.76,68.76,68,1,,,1,,
"강남 삼부르네상스 시티",37.489534,127.030544,"분양",,,,,33837,84995,59416,,,,,,48.82,111.21,111.21,,,,,true,
"DK밸리뷰서초2차(도시형)",37.487901,127.013867,"아파트",202206,1,105,785,50000,67000,59000,,,,125,200,32.15,35.06,32,17,,16,33,,
"잠원시티",37.511783,127.005316,"아파트",201708,1,29,229,49000,55000,55000,30000,30000,,100,150,29.55,33.44,31,4,3,2,10,,
"위더스하임(도시형)",37.503397,127.009165,"아파트",201703,2,29,196,43000,62000,51500,40000,61000,45000,,,32.2,61.13,32,7,4,,11,,
"거평프리젠",37.506376,127.027679,"아파트",199609,1,113,332,36000,59000,51000,23000,38000,38000,120,160,41.83,58.7,54,12,12,4,30,,
"한성",37.53468,127.00926,"아파트",197408,2,125,,50000,120000,50000,15000,16000,,90,95,31.7,74.41,31,3,3,2,8,,
"세호시티라이프(주상복합)",37.510475,127.024334,"아파트",199603,1,19,268,49000,50000,49000,,,,,,62.59,63.64,62,2,,,2,,
"신영체르니",37.479213,127.041384,"아파트",200208,1,175,287,46000,55500,46500,,,,,,43.79,48.94,43,4,,,4,,
"동광팰리스(도시형)",37.519331,127.038519,"아파트",201605,2,38,194,43000,55000,45000,,,,,,30.99,40.3,31,5,,,5,,
