단지명,위도,경도,부동산타입,준공년월,총동수,총세대수,최소매매가,최대매매가,중간매매가,최소전세가,최대전세가,중간전세가,매매매물수,전세매물수,월세매물수
"삼성월드타워",37.517457,127.044062,"아파트",199709,1,46,199000,205000,202000,75000,89000,88750,2,3,4
"서초에지앙",37.494931,127.020929,"아파트",200611,1,19,170000,250000,170000,85000,95000,95000,4,11,
"진넥스빌2(주상복합)",37.501779,127.044005,"아파트",200304,1,56,20000,35000,20450,25357,25357,,7,1,1
"거평프리젠",37.506376,127.027679,"아파트",199609,1,113,36000,59000,51000,23000,38000,38000,12,12,4
"더샵오데움(101,102동)",37.482615,127.009206,"아파트",200512,2,95,390000,500000,390000,289000,320000,290000,33,15,5
"도곡한신",37.487685,127.040609,"아파트",198807,5,421,,,,70000,70000,70000,,20,19
"한신타운",37.509484,127.011449,"재건축",198906,1,110,,,,70000,80000,70000,,13,2
"명인갤러리1차",37.498613,127.042584,"아파트",200209,1,14,117000,117000,117000,82000,82000,,3,5,
"양재SK허브프리모(주상복합)",37.485301,127.034443,"아파트",200601,1,176,40500,110000,110000,,,,7,,7
"동광팰리스(도시형)",37.519331,127.038519,"아파트",201605,2,38,43000,55000,45000,,,,5,,
"한양5차",37.529063,127.041946,"아파트",197911,4,343,500000,820000,615000,72000,180000,130000,31,35,27
"삼성청담공원",37.522268,127.050266,"아파트",199908,8,391,264000,350000,265000,74500,130000,90000,12,29,4
"세방하이빌",37.497389,127.042791,"아파트",200301,2,67,,,,66500,75000,70000,,11,3
"청담e-편한세상2차(204동)",37.5207,127.04505,"아파트",200512,1,41,245000,270000,250000,120000,135000,120000,36,5,6
"진흥",37.519107,127.053193,"아파트",198407,3,255,319000,850000,320000,84500,200000,85000,15,8,8
"아카데미스위트(주상복합)",37.488828,127.051585,"아파트",200411,1,414,195000,330000,280000,159000,220000,160000,63,32,9
"한남하이페리온II(주상복합)",37.528351,127.005886,"아파트",200404,1,19,850000,850000,850000,,,,4,,6
"한성",37.53468,127.00926,"아파트",197408,2,125,50000,120000,50000,15000,16000,,3,3,2
"극동스타클래스(주상복합)",37.485197,127.036016,"아파트",200703,1,96,170000,215000,175000,110000,110000,,26,5,15
"새티스(402-10)",37.471172,127.049886,"아파트",200109,1,16,65000,65000,65000,43000,43000,,4,1,
"자양7차현대홈타운",37.53302,127.06956,"아파트",200105,4,252,115000,170000,115000,,,,24,,
"우민",37.51787,127.03739,"아파트",200208,1,70,118000,130000,122500,80000,85000,85000,6,6,5
"에테르노청담(주상복합)",37.527716,127.05124,"아파트",202312,1,29,2700000,3000000,2850000,1200000,1200000,1200000,2,16,14
"청구강변(101동)",37.535518,127.054638,"재건축",199404,1,246,320000,320000,320000,55000,60000,56000,1,11,1
"삼성미켈란107(주상복합)",37.514726,127.060793,"아파트",200312,1,64,200000,210000,205000,95000,95000,95000,2,4,22
"한티",37.499028,127.057213,"아파트",200407,2,22,,,,100000,100000,100000,,2,6
"한라비발디스튜디오193(도시형)",37.485768,127.032051,"아파트",201307,1,149,24800,49000,25500,,,,16,,2
"르가든더메인한남",37.531546,127.00985,"아파트",201906,1,16,680000,980000,680000,750000,750000,,13,27,51
"타워팰리스1차(주상복합)",37.488556,127.054664,"아파트",200210,4,1292,299000,1200000,530000,249000,600000,300000,186,24,48
"논현한화꿈에그린",37.50705,127.030837,"아파트",200505,2,70,124000,155000,135000,69000,69000,69000,26,3,3
"청담린든그로브",37.522752,127.053648,"아파트",201708,5,114,309000,650000,350000,159500,500000,170000,83,35,30
"반포센트레빌아스테리움",37.503289,127.01618,"아파트",202107,2,108,370000,370000,370000,137000,140000,139000,1,8,13
"신반포16차",37.517458,127.00991,"재건축",198301,2,396,,,,24000,50000,24000,,6,8
"푸른솔",37.517843,127.046105,"아파트",199604,1,61,175000,175000,175000,95000,95000,,1,3,
"삼성홈타운7차(도시형)",37.537484,127.078065,"아파트",201501,2,20,61000,61000,61000,,,,1,,
"브라이튼N40",37.514362,127.026587,"아파트",202206,5,148,379600,1100000,653000,209000,210000,,49,19,21
"동부센트레빌",37.50256,127.049364,"아파트",199804,1,206,240000,300000,300000,,,,4,,4
"청담우방",37.518025,127.044078,"아파트",199910,1,100,199500,200000,200000,84500,120000,85000,4,22,2
"우성1,2,3차",37.506685,127.07294,"재건축",198112,26,1842,260000,420000,305000,53000,150000,67000,30,42,20
"아츠논현(도시형)",37.512201,127.036029,"아파트",202310,1,24,130000,160000,155000,50000,80000,80000,9,14,28
"미성2차",37.523985,127.019316,"아파트",198712,9,911,400000,850000,480000,80000,170000,85000,167,34,10
"현대3차",37.488014,127.061354,"아파트",198603,5,198,420000,450000,430000,85000,180000,180000,4,19,16
"신반포20차",37.51042,127.011503,"재건축",198312,1,112,480000,500000,500000,115000,120000,117500,4,2,4
"대치대우아이빌명문가(주상복합)",37.505138,127.053901,"아파트",200402,1,210,28000,50000,30000,,,,11,,1
"쌍용플래티넘(주상복합)",37.512403,127.051932,"아파트",200312,2,88,320000,320000,320000,184500,200000,184750,1,8,16
"논현e-편한세상",37.506748,127.029156,"아파트",200507,1,63,135000,180000,135000,,,,6,,
"쌍용플래티넘밸류(주상복합)",37.495603,127.030341,"아파트",200701,3,166,166000,280000,178000,80000,105000,83000,12,10,28
"삼성웰피아",37.50847,127.053655,"아파트",200506,1,19,,,,,,,,,
"금광아크존(주상복합)",37.526553,127.034579,"아파트",200409,1,39,76000,140000,137500,,,,4,,4
"그랜드",37.531541,127.079632,"아파트",202304,1,21,80000,82000,81000,,,,6,,
"신반포7차",37.512173,127.008623,"재건축",198004,3,320,438000,550000,545000,60000,110000,85000,17,31,2
"현대",37.485942,127.023523,"아파트",198912,5,413,250000,250000,250000,60000,75000,70000,2,23,6
"서초한빛삼성",37.488406,127.007863,"아파트",199911,2,264,149500,150000,150000,105000,125000,,3,4,4
"청담현대3차",37.527354,127.053394,"아파트",199906,4,317,209000,470000,260000,69500,170000,95000,69,37,27
"대림역삼",37.49632,127.04647,"아파트",199710,1,129,179000,245000,180000,69500,95000,70000,29,26,
"강변임광",37.53516,127.05691,"재건축",200008,2,141,300000,370000,360000,35000,65000,65000,6,4,1
"신반포25차",37.514861,127.009347,"재건축",198412,2,169,420000,420000,420000,65000,110000,80000,1,8,6
"서초e-편한세상1차",37.481181,127.006941,"아파트",200408,2,154,239000,280000,245000,,,,22,,
"마일스디오빌(주상복합)",37.51379,127.02892,"아파트",200411,1,260,37500,45000,39800,31500,32500,32250,17,4,13
"신반포자이",37.510166,127.008408,"아파트",201807,7,607,379000,600000,500000,114500,240000,148000,74,100,132
"논현아이파크(주상복합)",37.510439,127.036096,"아파트",202008,1,99,118000,190000,120000,90500,94000,,19,16,12
"지웰홈스서초(주상복합)",37.491985,127.013372,"아파트",201905,1,154,,,,,,,,,7
"우성2차",37.533382,127.073933,"아파트",198907,3,405,100000,142000,140000,45000,62000,60000,80,35,11
"한라",37.535427,127.070378,"아파트",199608,2,329,108000,140000,130000,60000,60000,,47,6,68
"미성1차",37.525563,127.020506,"재건축",198211,3,322,529000,900000,800000,80000,170000,170000,56,66,29
"청담삼성1차",37.519514,127.047747,"아파트",199712,1,158,180000,260000,180000,89000,100000,,15,18,7
"현대비젼21(주상복합)",37.487314,127.051525,"아파트",199911,1,232,40000,65000,43000,31000,40000,33500,31,21,3
"신영체르니",37.479213,127.041384,"아파트",200208,1,175,46000,55500,46500,,,,4,,
"한남리첸시아(주상복합)",37.534632,127.008111,"아파트",200404,3,371,75000,260000,78000,45000,240000,47500,51,9,12
"방배래미안아트힐",37.477688,127.005111,"아파트",200412,10,588,260000,330000,310000,129000,150000,140000,41,12,5
"서초롯데캐슬리버티",37.48748,127.01673,"아파트",200503,3,132,260000,260000,260000,95000,120000,117500,4,5,
"롯데캐슬프레미어",37.515662,127.0449,"아파트",200703,11,713,339000,600000,400000,119000,300000,150000,75,48,8
"루시아도산208(도시형)",37.519658,127.029458,"아파트",202307,1,55,110000,160000,145000,62500,75000,66500,18,11,36
"디에이치대치에델루이",37.50307,127.06064,"아파트분양권",202508,8,282,400000,600000,400000,129000,350000,180000,5,246,241
"아시아선수촌",37.507849,127.076641,"재건축",198606,18,1356,500000,740000,550000,104000,163000,119000,13,32,20
"유원서초",37.496155,127.018584,"아파트",199311,4,590,249000,284000,255000,81500,95000,95000,48,29,24
"미주파스텔",37.517302,127.011022,"아파트",200207,1,91,210000,255000,240000,55000,95000,95000,23,78,2
"삼성",37.488551,127.046667,"아파트",199412,4,231,270000,350000,270000,60000,90000,61000,5,26,15
"도곡렉슬",37.493869,127.050945,"아파트",200601,34,3002,260000,650000,440000,98500,260000,170000,148,231,215
"아이파크삼성",37.51818,127.05906,"아파트",200403,3,449,619000,1500000,950000,309000,700000,340000,125,51,47
"삼성힐스테이트2단지",37.514112,127.051582,"아파트",200812,12,926,160000,400000,355000,69500,140000,122000,47,78,141
"래미안삼성2차",37.515991,127.043301,"아파트",200705,8,275,324000,650000,400000,117500,140000,,37,21,6
